userid,emailid,date,amount,discount
66,test66@gmail.com,07-03-2019,145.2,22.89285714
67,test67@gmail.com,08-03-2019,145.9,23.21428571
68,test68@gmail.com,09-03-2019,146.6,23.53571429
69,test69@gmail.com,10-03-2019,147.3,23.85714286
70,test70@gmail.com,11-03-2019,148,24.17857143
71,test71@gmail.com,12-03-2019,148.7,24.5
72,test72@gmail.com,13-03-2019,149.4,24.82142857
73,test73@gmail.com,14-03-2019,150.1,25.14285714
74,test74@gmail.com,15-03-2019,150.8,25.46428571
75,test75@gmail.com,16-03-2019,151.5,25.78571429
76,test76@gmail.com,17-03-2019,152.2,26.10714286
77,test77@gmail.com,18-03-2019,152.9,26.42857143
78,test78@gmail.com,19-03-2019,153.6,26.75
79,test79@gmail.com,20-03-2019,154.3,27.07142857
80,test80@gmail.com,21-03-2019,155,27.39285714
81,test81@gmail.com,22-03-2019,155.7,27.71428571
82,test82@gmail.com,23-03-2019,156.4,28.03571429
83,test83@gmail.com,24-03-2019,157.1,28.35714286
84,test84@gmail.com,25-03-2019,157.8,28.67857143
85,test85@gmail.com,26-03-2019,158.5,29
86,test86@gmail.com,27-03-2019,159.2,29.32142857
87,test87@gmail.com,28-03-2019,159.9,29.64285714
88,test88@gmail.com,29-03-2019,160.6,29.96428571
89,test89@gmail.com,30-03-2019,161.3,30.28571429
90,test90@gmail.com,31-03-2019,162,30.60714286
91,test91@gmail.com,01-04-2019,162.7,30.92857143
92,test92@gmail.com,02-04-2019,163.4,31.25
93,test93@gmail.com,03-04-2019,164.1,31.57142857
94,test94@gmail.com,04-04-2019,164.8,31.89285714
95,test95@gmail.com,05-04-2019,165.5,32.21428571
96,test96@gmail.com,06-04-2019,166.2,32.53571429
97,test97@gmail.com,07-04-2019,166.9,32.85714286
98,test98@gmail.com,08-04-2019,167.6,33.17857143
99,test99@gmail.com,09-04-2019,168.3,33.5
100,test100@gmail.com,10-04-2019,169,33.82142857
101,test101@gmail.com,11-04-2019,169.7,34.14285714
102,test102@gmail.com,12-04-2019,170.4,34.46428571
103,test103@gmail.com,13-04-2019,171.1,34.78571429
104,test104@gmail.com,14-04-2019,171.8,35.10714286
105,test105@gmail.com,15-04-2019,172.5,35.42857143
106,test106@gmail.com,16-04-2019,173.2,35.75
107,test107@gmail.com,17-04-2019,173.9,36.07142857
108,test108@gmail.com,18-04-2019,174.6,36.39285714
109,test109@gmail.com,19-04-2019,175.3,36.71428571
110,test110@gmail.com,20-04-2019,176,37.03571429
111,test111@gmail.com,21-04-2019,176.7,37.35714286
112,test112@gmail.com,22-04-2019,177.4,37.67857143
113,test113@gmail.com,23-04-2019,178.1,38
114,test114@gmail.com,24-04-2019,178.8,38.32142857
115,test115@gmail.com,25-04-2019,179.5,38.64285714
116,test116@gmail.com,26-04-2019,180.2,38.96428571
117,test117@gmail.com,27-04-2019,180.9,39.28571429
118,test118@gmail.com,28-04-2019,181.6,39.60714286
119,test119@gmail.com,29-04-2019,182.3,39.92857143
120,test120@gmail.com,30-04-2019,183,40.25
121,test121@gmail.com,01-05-2019,183.7,40.57142857
122,test122@gmail.com,02-05-2019,184.4,40.89285714
,test122@gmail.com,02-05-2019,184.4,40.89285714
123,test123@gmail.com,03-05-2019,185.1,41.21428571
124,test124@gmail.com,04-05-2019,185.8,41.53571429
125,test125@gmail.com,05-05-2019,186.5,41.85714286
126,test126@gmail.com,06-05-2019,187.2,42.17857143
127,test127@gmail.com,07-05-2019,187.9,42.5
128,test128@gmail.com,08-05-2019,188.6,42.82142857
129,test129@gmail.com,09-05-2019,189.3,43.14285714
130,test130@gmail.com,10-05-2019,190,43.46428571
131,test131@gmail.com,11-05-2019,190.7,43.78571429
132,test132@gmail.com,12-05-2019,191.4,44.10714286
133,test133@gmail.com,13-05-2019,192.1,44.42857143
134,test134@gmail.com,14-05-2019,192.8,44.75
135,test135@gmail.com,15-05-2019,193.5,45.07142857
136,test136@gmail.com,16-05-2019,194.2,45.39285714
137,test137@gmail.com,17-05-2019,194.9,45.71428571
138,test138@gmail.com,18-05-2019,195.6,46.03571429
139,test139@gmail.com,19-05-2019,196.3,46.35714286
140,test140@gmail.com,20-05-2019,197,46.67857143
141,test141@gmail.com,21-05-2019,197.7,47
142,test142@gmail.com,22-05-2019,198.4,47.32142857
143,test143@gmail.com,23-05-2019,199.1,47.64285714
144,test144@gmail.com,24-05-2019,199.8,47.96428571
145,test145@gmail.com,25-05-2019,200.5,48.28571429
146,test146@gmail.com,26-05-2019,201.2,48.60714286
147,test147@gmail.com,27-05-2019,201.9,48.92857143
148,test148@gmail.com,28-05-2019,202.6,49.25
149,test149@gmail.com,29-05-2019,203.3,49.57142857
150,test150@gmail.com,30-05-2019,204,49.89285714
1,test1@gmail.com,31-05-2019,204.7,1
2,test2@gmail.com,01-06-2019,205.4,1
3,test3@gmail.com,02-06-2019,206.1,2
4,test4@gmail.com,03-06-2019,206.8,10
5,test5@gmail.com,04-06-2019,207.5,2
6,test6@gmail.com,05-06-2019,208.2,1
7,test7@gmail.com,06-06-2019,208.9,3
8,test8@gmail.com,07-06-2019,209.6,5
9,test9@gmail.com,08-06-2019,210.3,4.571428571
10,test10@gmail.com,09-06-2019,211,4.892857143
11,test11@gmail.com,10-06-2019,211.7,5.214285714
12,test12@gmail.com,11-06-2019,212.4,5.535714286
13,test13@gmail.com,12-06-2019,213.1,5.857142857
14,test14@gmail.com,13-06-2019,213.8,6.178571429
15,test15@gmail.com,14-06-2019,214.5,6.5
16,test16@gmail.com,15-06-2019,215.2,6.821428571
17,test17@gmail.com,16-06-2019,215.9,7.142857143
18,test18@gmail.com,17-06-2019,216.6,7.464285714
19,test19@gmail.com,18-06-2019,217.3,7.785714286
20,test20@gmail.com,19-06-2019,218,8.107142857
21,test21@gmail.com,20-06-2019,218.7,8.428571429
22,test22gmail.com,21-06-2019,219.4,8.75
23,test23@gmail.com,22-06-2019,220.1,9.071428571
24,test24@gmail.com,23-06-2019,220.8,9.392857143
25,test25@gmail.com,24-06-2019,221.5,9.714285714
26,test26@gmail.com,25-06-2019,222.2,10.03571429
27,test27@gmail.com,26-06-2019,222.9,10.35714286
28,test28@gmail.com,27-06-2019,223.6,10.67857143
29,test29@gmail.com,28-06-2019,224.3,11
30,test30@gmail.com,29-06-2019,225,11.32142857
31,test31@gmail.com,30-06-2019,225.7,11.64285714
32,test32@gmail.com,01-07-2019,226.4,11.96428571
33,test33@gmail.com,02-07-2019,227.1,12.28571429
34,test34@gmail.com,03-07-2019,227.8,12.60714286
35,test35@gmail.com,04-07-2019,228.5,12.92857143
36,test36@gmail.com,05-07-2019,229.2,13.25
37,test37@gmail.com,06-07-2019,229.9,13.57142857
38,test38@gmail.com,07-07-2019,230.6,13.89285714
39,test39@gmail.com,08-07-2019,231.3,14.21428571
40,test40@gmail.com,09-07-2019,232,14.53571429
41,test41@gmail.com,10-07-2019,232.7,14.85714286
42,test42@gmail.com,11-07-2019,233.4,15.17857143
43,test43@gmail.com,12-07-2019,234.1,15.5
44,test44@gmail.com,13-07-2019,234.8,15.82142857
45,test45@gmail.com,14-07-2019,235.5,16.14285714
46,test46@gmail.com,15-07-2019,236.2,16.46428571
47,test47@gmail.com,16-07-2019,236.9,16.78571429
48,test48@gmail.com,17-07-2019,237.6,17.10714286
49,test49@gmail.com,18-07-2019,238.3,17.42857143
50,test50@gmail.com,19-07-2019,239,17.75
51,test51@gmail.com,20-07-2019,239.7,18.07142857
52,test52@gmail.com,21-07-2019,240.4,18.39285714
53,test53@gmail.com,22-07-2019,241.1,18.71428571
54,test54@gmail.com,23-07-2019,241.8,19.03571429
55,test55@gmail.com,24-07-2019,242.5,19.35714286
56,test56@gmail.com,25-07-2019,243.2,19.67857143
57,test57@gmail.com,26-07-2019,243.9,20
58,test58@gmail.com,27-07-2019,244.6,20.32142857
59,test59@gmail.com,28-07-2019,245.3,20.64285714
60,test60@gmail.com,29-07-2019,246,20.96428571
61,test61@gmail.com,30-07-2019,246.7,21.28571429
62,test62@gmail.com,31-07-2019,247.4,21.60714286
63,test63@gmail.com,01-08-2019,248.1,21.92857143
64,test64@gmail.com,02-08-2019,248.8,22.25
65,test65@gmail.com,03-08-2019,249.5,22.57142857
66,test66@gmail.com,04-08-2019,250.2,22.89285714
67,test67@gmail.com,05-08-2019,250.9,23.21428571
68,test68@gmail.com,06-08-2019,251.6,23.53571429
69,test69@gmail.com,07-08-2019,252.3,23.85714286
70,test70@gmail.com,08-08-2019,253,24.17857143
71,test71@gmail.com,09-08-2019,253.7,24.5
72,test72@gmail.com,10-08-2019,254.4,24.82142857
73,test73@gmail.com,11-08-2019,255.1,25.14285714
74,test74@gmail.com,12-08-2019,255.8,25.46428571
75,test75@gmail.com,13-08-2019,256.5,25.78571429
76,test76@gmail.com,14-08-2019,257.2,26.10714286
77,test77@gmail.com,15-08-2019,257.9,26.42857143
78,test78@gmail.com,null,258.6,26.75
79,test79@gmail.com,17-08-2019,259.3,27.07142857
80,test80@gmail.com,18-08-2019,260,27.39285714
81,test81@gmail.com,19-08-2019,260.7,27.71428571
82,test82@gmail.com,20-08-2019,261.4,28.03571429
83,test83@gmail.com,21-08-2019,262.1,28.35714286
84,test84@gmail.com,22-08-2019,262.8,28.67857143
85,test85@gmail.com,23-08-2019,263.5,29
86,test86@gmail.com,24-08-2019,264.2,29.32142857
87,test87@gmail.com,25-08-2019,264.9,29.64285714
88,test88@gmail.com,26-08-2019,265.6,29.96428571
89,test89@gmail.com,27-08-2019,266.3,30.28571429
90,test90@gmail.com,28-08-2019,267,30.60714286
91,test91@gmail.com,29-08-2019,267.7,30.92857143
92,test92@gmail.com,30-08-2019,268.4,31.25
93,test93@gmail.com,31-08-2019,269.1,31.57142857
94,test94@gmail.com,01-09-2019,269.8,31.89285714
95,test95@gmail.com,02-09-2019,270.5,32.21428571
96,test96@gmail.com,03-09-2019,271.2,32.53571429
97,test97@gmail.com,04-09-2019,271.9,32.85714286
98,test98@gmail.com,05-09-2019,272.6,33.17857143
99,test99@gmail.com,06-09-2019,273.3,33.5
100,test100@gmail.com,07-09-2019,274,33.82142857
101,test101@gmail.com,08-09-2019,274.7,34.14285714
102,test102@gmail.com,09-09-2019,275.4,34.46428571
103,test103@gmail.com,10-09-2019,276.1,34.78571429
104,test104@gmail.com,11-09-2019,276.8,35.10714286
105,test105@gmail.com,12-09-2019,277.5,35.42857143
106,test106@gmail.com,13-09-2019,278.2,35.75
107,test107@gmail.com,14-09-2019,278.9,36.07142857
108,test108@gmail.com,15-09-2019,279.6,36.39285714
109,test109@gmail.com,16-09-2019,280.3,36.71428571
110,test110@gmail.com,17-09-2019,281,37.03571429
111,test111@gmail.com,18-09-2019,281.7,37.35714286
112,test112@gmail.com,19-09-2019,282.4,37.67857143
113,test113@gmail.com,20-09-2019,283.1,38
114,test114@gmail.com,21-09-2019,283.8,38.32142857
115,test115@gmail.com,22-09-2019,284.5,38.64285714
116,test116@gmail.com,23-09-2019,285.2,38.96428571
117,test117@gmail.com,24-09-2019,285.9,39.28571429
118,test118@gmail.com,25-09-2019,286.6,39.60714286
119,test119@gmail.com,26-09-2019,287.3,39.92857143
120,test120@gmail.com,27-09-2019,288,40.25
121,test121@gmail.com,28-09-2019,288.7,40.57142857
122,test122@gmail.com,29-09-2019,289.4,40.89285714
123,test123@gmail.com,30-09-2019,290.1,41.21428571
124,test124@gmail.com,01-10-2019,290.8,41.53571429
125,test125@gmail.com,02-10-2019,291.5,41.85714286
126,test126@gmail.com,03-10-2019,rttr,42.17857143
127,test127@gmail.com,04-10-2019,292.9,42.5
128,test128@gmail.com,05-10-2019,293.6,42.82142857
129,test129@gmail.com,06-10-2019,294.3,43.14285714
130,test130@gmail.com,07-10-2019,295,43.46428571
131,test131@gmail.com,08-10-2019,295.7,43.78571429
132,test132@gmail.com,09-10-2019,296.4,44.10714286
133,test133@gmail.com,10-10-2019,297.1,44.42857143
134,test134@gmail.com,11-10-2019,297.8,44.75
135,test135@gmail.com,12-10-2019,298.5,45.07142857
136,test136@gmail.com,13-10-2019,299.2,45.39285714
137,test137@gmail.com,14-10-2019,299.9,45.71428571
138,test138@gmail.com,15-10-2019,300.6,46.03571429
139,test139@gmail.com,16-10-2019,301.3,46.35714286
140,test140@gmail.com,17-10-2019,302,46.67857143
141,test141@gmail.com,18-10-2019,302.7,47
142,test142@gmail.com,19-10-2019,303.4,47.32142857
143,test143@gmail.com,20-10-2019,304.1,47.64285714
144,test144@gmail.com,21-10-2019,304.8,47.96428571
145,test145@gmail.com,22-10-2019,305.5,48.28571429
146,test146@gmail.com,23-10-2019,306.2,48.60714286
147,test147@gmail.com,24-10-2019,306.9,48.92857143
148,test148@gmail.com,25-10-2019,307.6,49.25
149,test149@gmail.com,26-10-2019,308.3,49.57142857
150,test150@gmail.com,27-10-2019,309,49.89285714
1,test1@gmail.com,28-10-2019,309.7,1
2,test2@gmail.com,29-10-2019,310.4,1
3,test3@gmail.com,30-10-2019,311.1,2
4,test4@gmail.com,31-10-2019,311.8,10
5,test5@gmail.com,01-11-2019,312.5,2
6,test6@gmail.com,02-11-2019,313.2,1
7,test7@gmail.com,03-11-2019,313.9,3
8,test8@gmail.com,04-11-2019,314.6,5
9,test9@gmail.com,05-11-2019,315.3,4.571428571
10,test10@gmail.com,06-11-2019,316,4.892857143
11,test11@gmail.com,07-11-2019,316.7,5.214285714
12,test12@gmail.com,08-11-2019,317.4,5.535714286
13,test13@gmail.com,09-11-2019,318.1,5.857142857
14,test14@gmail.com,10-11-2019,318.8,6.178571429
15,test15@gmail.com,11-11-2019,319.5,6.5
16,test16@gmail.com,12-11-2019,320.2,6.821428571
17,test17@gmail.com,13-11-2019,320.9,7.142857143
18,test18@gmail.com,14-11-2019,321.6,7.464285714
19,test19@gmail.com,15-11-2019,322.3,7.785714286
20,test20@gmail.com,16-11-2019,323,8.107142857
21,test21@gmail.com,17-11-2019,323.7,8.428571429
22,test22@gmail.com,18-11-2019,324.4,8.75
23,test23@gmail.com,19-11-2019,325.1,9.071428571
24,test24@gmail.com,20-11-2019,325.8,9.392857143
25,test25@gmail.com,21-11-2019,326.5,9.714285714
26,test26@gmail.com,22-11-2019,327.2,10.03571429
27,test27@gmail.com,23-11-2019,327.9,10.35714286
28,test28@gmail.com,24-11-2019,328.6,10.67857143
29,test29@gmail.com,25-11-2019,329.3,11
30,test30@gmail.com,26-11-2019,330,11.32142857
31,test31@gmail.com,27-11-2019,330.7,11.64285714
32,test32@gmail.com,28-11-2019,331.4,11.96428571
33,test33@gmail.com,29-11-2019,332.1,12.28571429
34,test34@gmail.com,30-11-2019,332.8,12.60714286
35,test35@gmail.com,01-12-2019,333.5,12.92857143
36,test36@gmail.com,02-12-2019,334.2,13.25
37,test37@gmail.com,03-12-2019,334.9,13.57142857
38,test38@gmail.com,04-12-2019,335.6,13.89285714
39,test39@gmail.com,05-12-2019,336.3,14.21428571
40,test40@gmail.com,06-12-2019,337,14.53571429
41,test41@gmail.com,07-12-2019,337.7,14.85714286
42,test42@gmail.com,08-12-2019,338.4,15.17857143
43,test43@gmail.com,09-12-2019,339.1,15.5
44,test44@gmail.com,10-12-2019,339.8,15.82142857
45,test45@gmail.com,11-12-2019,340.5,16.14285714
46,test46@gmail.com,12-12-2019,341.2,16.46428571
47,test47@gmail.com,13-12-2019,341.9,16.78571429
48,test48@gmail.com,14-12-2019,342.6,17.10714286
49,test49@gmail.com,15-12-2019,343.3,17.42857143
50,test50@gmail.com,16-12-2019,344,17.75
51,test51@gmail.com,17-12-2019,344.7,18.07142857
52,test52@gmail.com,18-12-2019,345.4,18.39285714
53,test53@gmail.com,19-12-2019,346.1,18.71428571
54,test54@gmail.com,20-12-2019,346.8,19.03571429
55,test55@gmail.com,21-12-2019,347.5,19.35714286
56,test56@gmail.com,22-12-2019,348.2,19.67857143
57,test57@gmail.com,23-12-2019,348.9,20
58,test58@gmail.com,24-12-2019,349.6,20.32142857
59,test59@gmail.com,25-12-2019,350.3,20.64285714
60,test60@gmail.com,26-12-2019,351,20.96428571
61,test61@gmail.com,27-12-2019,351.7,21.28571429
62,test62@gmail.com,28-12-2019,352.4,21.60714286
63,test63@gmail.com,29-12-2019,353.1,21.92857143
64,test64@gmail.com,30-12-2019,353.8,22.25
65,test65@gmail.com,31-12-2019,354.5,22.57142857
66,test66@gmail.com,01-01-2020,355.2,22.89285714
67,test67@gmail.com,02-01-2020,355.9,23.21428571
68,test68@gmail.com,03-01-2020,356.6,23.53571429
69,test69@gmail.com,04-01-2020,357.3,23.85714286
70,test70@gmail.com,05-01-2020,358,24.17857143
71,test71@gmail.com,06-01-2020,358.7,24.5
72,test72@gmail.com,07-01-2020,359.4,24.82142857
73,test73@gmail.com,08-01-2020,360.1,25.14285714
74,test74@gmail.com,09-01-2020,360.8,25.46428571
75,test75@gmail.com,10-01-2020,361.5,25.78571429
76,test76@gmail.com,11-01-2020,362.2,26.10714286
77,test77@gmail.com,12-01-2020,362.9,26.42857143
78,test78@gmail.com,13-01-2020,363.6,26.75
79,test79@gmail.com,14-01-2020,364.3,27.07142857
80,test80@gmail.com,15-01-2020,365,27.39285714
81,test81@gmail.com,16-01-2020,365.7,27.71428571
82,test82@gmail.com,17-01-2020,366.4,28.03571429
83,test83@gmail.com,18-01-2020,367.1,28.35714286
84,test84@gmail.com,19-01-2020,367.8,28.67857143
85,test85@gmail.com,20-01-2020,368.5,29
86,test86@gmail.com,21-01-2020,369.2,29.32142857
87,test87@gmail.com,22-01-2020,369.9,29.64285714
88,test88@gmail.com,23-01-2020,370.6,29.96428571
89,test89@gmail.com,24-01-2020,371.3,30.28571429
90,test90@gmail.com,25-01-2020,372,30.60714286
91,test91@gmail.com,26-01-2020,372.7,30.92857143
92,test92@gmail.com,27-01-2020,373.4,31.25
93,test93@gmail.com,28-01-2020,374.1,31.57142857
94,test94@gmail.com,29-01-2020,374.8,31.89285714
95,test95@gmail.com,30-01-2020,375.5,32.21428571
96,test96@gmail.com,31-01-2020,376.2,32.53571429
97,test97@gmail.com,01-02-2020,376.9,32.85714286
98,test98@gmail.com,02-02-2020,377.6,33.17857143
99,test99@gmail.com,03-02-2020,378.3,33.5
100,test100@gmail.com,04-02-2020,379,33.82142857
101,test101@gmail.com,05-02-2020,379.7,34.14285714
102,test102@gmail.com,06-02-2020,380.4,34.46428571
103,test103@gmail.com,07-02-2020,381.1,34.78571429
104,test104@gmail.com,08-02-2020,381.8,35.10714286
105,test105@gmail.com,09-02-2020,382.5,35.42857143
106,test106@gmail.com,10-02-2020,383.2,35.75
107,test107@gmail.com,11-02-2020,383.9,36.07142857
108,test108@gmail.com,12-02-2020,384.6,36.39285714
109,test109@gmail.com,13-02-2020,385.3,36.71428571
110,test110@gmail.com,14-02-2020,386,37.03571429
111,test111@gmail.com,15-02-2020,386.7,37.35714286
112,test112@gmail.com,16-02-2020,387.4,37.67857143
113,test113@gmail.com,17-02-2020,388.1,38
114,test114@gmail.com,18-02-2020,388.8,38.32142857
115,test115@gmail.com,19-02-2020,389.5,38.64285714
116,test116@gmail.com,20-02-2020,390.2,38.96428571
117,test117@gmail.com,21-02-2020,390.9,39.28571429
118,test118@gmail.com,22-02-2020,391.6,39.60714286
119,test119@gmail.com,23-02-2020,392.3,39.92857143
120,test120@gmail.com,24-02-2020,393,40.25
121,test121@gmail.com,25-02-2020,393.7,40.57142857
122,test122@gmail.com,26-02-2020,394.4,40.89285714
123,test123@gmail.com,27-02-2020,395.1,41.21428571
124,test124@gmail.com,28-02-2020,395.8,41.53571429
125,test125@gmail.com,29-02-2020,396.5,41.85714286
126,test126@gmail.com,01-03-2020,397.2,42.17857143
127,test127@gmail.com,02-03-2020,397.9,42.5
128,test128@gmail.com,03-03-2020,398.6,42.82142857
129,test129@gmail.com,04-03-2020,399.3,43.14285714
130,test130@gmail.com,05-03-2020,400,43.46428571
131,test131@gmail.com,06-03-2020,400.7,43.78571429
132,test132@gmail.com,07-03-2020,401.4,44.10714286
133,test133@gmail.com,08-03-2020,402.1,44.42857143
134,test134@gmail.com,09-03-2020,402.8,44.75
135,test135@gmail.com,10-03-2020,403.5,45.07142857
136,test136@gmail.com,11-03-2020,404.2,45.39285714
137,test137@gmail.com,12-03-2020,404.9,45.71428571
138,test138@gmail.com,13-03-2020,405.6,46.03571429
139,test139@gmail.com,14-03-2020,406.3,46.35714286
140,test140@gmail.com,15-03-2020,407,46.67857143
141,test141@gmail.com,16-03-2020,407.7,47
142,test142@gmail.com,17-03-2020,408.4,47.32142857
143,test143@gmail.com,18-03-2020,409.1,47.64285714
144,test144@gmail.com,19-03-2020,409.8,47.96428571
145,test145@gmail.com,20-03-2020,410.5,48.28571429
146,test146@gmail.com,21-03-2020,411.2,48.60714286
147,test147@gmail.com,22-03-2020,411.9,48.92857143
148,test148@gmail.com,23-03-2020,412.6,49.25
149,test149@gmail.com,24-03-2020,413.3,49.57142857
150,test150@gmail.com,25-03-2020,414,49.89285714
1,test1@gmail.com,26-03-2020,414.7,1
2,test2@gmail.com,27-03-2020,415.4,1
3,test3@gmail.com,28-03-2020,416.1,2
4,test4@gmail.com,29-03-2020,416.8,10
5,test5@gmail.com,30-03-2020,417.5,2
6,test6@gmail.com,31-03-2020,418.2,1
7,test7@gmail.com,01-04-2020,418.9,3
8,test8@gmail.com,02-04-2020,419.6,5
9,test9@gmail.com,03-04-2020,420.3,4.571428571
10,test10@gmail.com,04-04-2020,421,4.892857143
11,test11@gmail.com,05-04-2020,421.7,5.214285714
12,test12@gmail.com,06-04-2020,422.4,5.535714286
13,test13@gmail.com,07-04-2020,423.1,5.857142857
14,test14@gmail.com,08-04-2020,423.8,6.178571429
15,test15@gmail.com,09-04-2020,424.5,6.5
16,test16@gmail.com,10-04-2020,425.2,6.821428571
17,test17@gmail.com,11-04-2020,425.9,7.142857143
18,test18@gmail.com,12-04-2020,426.6,7.464285714
19,test19@gmail.com,13-04-2020,427.3,7.785714286
20,test20@gmail.com,14-04-2020,428,8.107142857
21,test21@gmail.com,15-04-2020,428.7,8.428571429
22,test22@gmail.com,16-04-2020,429.4,8.75
23,test23@gmail.com,17-04-2020,430.1,9.071428571
24,test24@gmail.com,18-04-2020,430.8,9.392857143
25,test25@gmail.com,19-04-2020,431.5,9.714285714
26,test26@gmail.com,20-04-2020,432.2,10.03571429
27,test27@gmail.com,21-04-2020,432.9,10.35714286
28,test2gmail.com,22-04-2020,433.6,10.67857143
29,test29@gmail.com,23-04-2020,434.3,11
30,test30@gmail.com,24-04-2020,435,11.32142857
31,test31@gmail.com,25-04-2020,435.7,11.64285714
32,test32@gmail.com,26-04-2020,436.4,11.96428571
33,test33@gmail.com,27-04-2020,437.1,12.28571429
34,test34@gmail.com,28-04-2020,437.8,12.60714286
35,test35@gmail.com,29-04-2020,438.5,12.92857143
36,test36@gmail.com,30-04-2020,439.2,13.25
37,test37@gmail.com,01-05-2020,439.9,13.57142857
38,test38@gmail.com,02-05-2020,440.6,13.89285714
39,test39@gmail.com,03-05-2020,441.3,14.21428571
40,test40@gmail.com,04-05-2020,442,14.53571429
41,test41@gmail.com,05-05-2020,442.7,14.85714286
42,test42@gmail.com,06-05-2020,443.4,15.17857143
43,test43@gmail.com,07-05-2020,444.1,15.5
44,test44@gmail.com,08-05-2020,444.8,15.82142857
45,test45@gmail.com,09-05-2020,445.5,16.14285714
46,test46@gmail.com,10-05-2020,446.2,16.46428571
47,test47@gmail.com,11-05-2020,446.9,16.78571429
48,test48@gmail.com,12-05-2020,447.6,17.10714286
49,test49@gmail.com,13-05-2020,448.3,17.42857143
50,test50@gmail.com,14-05-2020,449,17.75
51,test51@gmail.com,15-05-2020,449.7,18.07142857
52,test52@gmail.com,16-05-2020,450.4,18.39285714
53,test53@gmail.com,17-05-2020,451.1,18.71428571
54,test54@gmail.com,18-05-2020,451.8,19.03571429
55,test55@gmail.com,19-05-2020,452.5,19.35714286
56,test56@gmail.com,20-05-2020,453.2,19.67857143
57,test57@gmail.com,21-05-2020,453.9,20
58,test58@gmail.com,22-05-2020,454.6,20.32142857
59,test59@gmail.com,23-05-2020,455.3,20.64285714
60,test60@gmail.com,24-05-2020,456,20.96428571
61,test61@gmail.com,25-05-2020,456.7,21.28571429
